"approval_ym","processing_bucket","approved_cnt","default_cnt","default_rate","chargeoff_sum","avg_amount"
"2019-10-01","CAPLINES","20","0","0","0.00","768475.00"
"2019-10-01","COMMUNITY ADVANTAGE","67","3","0.04477611940298507","417846.32","132088.06"
"2019-10-01","EXPORT/TRADE","15","1","0.06666666666666667","290550.81","1869733.33"
"2019-10-01","EXPRESS","1874","90","0.048025613660619","3171958.88","77108.75"
"2019-10-01","PLP","1742","51","0.029276693455797934","12629046.69","748912.40"
"2019-10-01","STANDARD","327","4","0.012232415902140673","2201128.83","717558.72"
"2019-11-01","CAPLINES","30","1","0.03333333333333333","1053746.77","1112200.00"
"2019-11-01","COMMUNITY ADVANTAGE","58","4","0.06896551724137931","506274.57","145593.10"
"2019-11-01","EXPORT/TRADE","15","1","0.06666666666666667","314655.00","1886533.33"
"2019-11-01","EXPRESS","1734","76","0.04382929642445214","3324070.03","78640.31"
"2019-11-01","PLP","1853","60","0.032379924446842956","12560017.17","803152.40"
"2019-11-01","STANDARD","254","7","0.027559055118110236","3120377.90","798622.83"
"2019-12-01","CAPLINES","26","1","0.038461538461538464","355835.49","600576.92"
"2019-12-01","COMMUNITY ADVANTAGE","54","3","0.05555555555555555","324561.71","134005.56"
"2019-12-01","EXPORT/TRADE","17","0","0","0.00","2177058.82"
"2019-12-01","EXPRESS","1657","73","0.044055522027761015","3072424.81","79574.11"
"2019-12-01","PLP","1722","38","0.022067363530778164","8089511.23","810517.42"
"2019-12-01","STANDARD","298","7","0.02348993288590604","1875544.33","820350.34"
"2020-01-01","CAPLINES","14","0","0","0.00","444285.71"
"2020-01-01","COMMUNITY ADVANTAGE","61","4","0.06557377049180328","415130.45","137821.31"
"2020-01-01","EXPORT/TRADE","14","0","0","0.00","1580592.86"
"2020-01-01","EXPRESS","1598","74","0.04630788485607009","3074870.22","76740.43"
"2020-01-01","PLP","1422","39","0.027426160337552744","10055534.85","808672.50"
"2020-01-01","STANDARD","313","13","0.04153354632587859","2725271.55","790294.25"
"2020-02-01","CAPLINES","11","0","0","0.00","805090.91"
"2020-02-01","COMMUNITY ADVANTAGE","56","4","0.07142857142857142","551496.63","168037.50"
"2020-02-01","EXPORT/TRADE","19","0","0","0.00","2029036.84"
"2020-02-01","EXPRESS","1583","73","0.04611497157296273","3342207.86","80922.68"
"2020-02-01","PLP","1418","33","0.0232722143864598","8599729.35","800960.72"
"2020-02-01","STANDARD","301","10","0.03322259136212625","1612418.19","762504.32"
"2020-03-01","CAPLINES","29","0","0","0.00","1263620.69"
"2020-03-01","COMMUNITY ADVANTAGE","57","2","0.03508771929824561","263391.43","143521.05"
"2020-03-01","EXPORT/TRADE","21","0","0","0.00","1552938.10"
"2020-03-01","EXPRESS","1628","79","0.048525798525798525","3191535.43","76424.26"
"2020-03-01","PLP","1305","27","0.020689655172413793","7299637.07","746498.93"
"2020-03-01","STANDARD","327","6","0.01834862385321101","1633449.26","888370.95"
"2020-04-01","CAPLINES","26","0","0","0.00","879930.77"
"2020-04-01","COMMUNITY ADVANTAGE","53","4","0.07547169811320754","563233.33","145954.72"
"2020-04-01","EXPORT/TRADE","21","0","0","0.00","1370409.52"
"2020-04-01","EXPRESS","1649","39","0.023650697392359005","1937183.79","82954.15"
"2020-04-01","PLP","2568","43","0.01674454828660436","13911591.87","971648.33"
"2020-04-01","STANDARD","184","5","0.02717391304347826","468082.05","1013646.74"
"2020-05-01","CAPLINES","20","0","0","0.00","1370000.00"
"2020-05-01","COMMUNITY ADVANTAGE","24","1","0.041666666666666664","106318.64","154704.17"
"2020-05-01","EXPORT/TRADE","12","0","0","0.00","1449000.00"
"2020-05-01","EXPRESS","1094","31","0.0283363802559415","1188748.74","86150.55"
"2020-05-01","PLP","728","8","0.01098901098901099","886051.04","879781.59"
"2020-05-01","STANDARD","169","5","0.029585798816568046","1931047.68","990446.75"
"2020-06-01","CAPLINES","21","0","0","0.00","891290.48"
"2020-06-01","COMMUNITY ADVANTAGE","29","1","0.034482758620689655","100617.66","124910.34"
"2020-06-01","EXPORT/TRADE","14","0","0","0.00","1529628.57"
"2020-06-01","EXPRESS","1176","24","0.02040816326530612","1425450.64","103074.32"
"2020-06-01","PLP","806","10","0.01240694789081886","2148426.57","883748.76"
"2020-06-01","STANDARD","212","5","0.02358490566037736","6113308.40","867476.42"
"2020-07-01","CAPLINES","19","0","0","0.00","922652.63"
"2020-07-01","COMMUNITY ADVANTAGE","30","1","0.03333333333333333","157306.64","140813.33"
"2020-07-01","EXPORT/TRADE","18","0","0","0.00","2148911.11"
"2020-07-01","EXPRESS","1219","30","0.02461033634126333","1172790.83","107274.98"
"2020-07-01","PLP","1343","24","0.017870439314966492","8517823.29","906915.93"
"2020-07-01","STANDARD","271","4","0.014760147601476014","2573352.63","870239.48"
"2020-08-01","CAPLINES","19","0","0","0.00","1113421.05"
"2020-08-01","COMMUNITY ADVANTAGE","27","0","0","0.00","157803.70"
"2020-08-01","EXPORT/TRADE","20","1","0.05","717094.03","2264895.00"
"2020-08-01","EXPRESS","1146","16","0.013961605584642234","1009523.37","124200.00"
"2020-08-01","PLP","1718","22","0.012805587892898719","8330844.52","907044.70"
"2020-08-01","STANDARD","260","8","0.03076923076923077","2125808.56","823372.69"
"2020-09-01","CAPLINES","23","0","0","0.00","1184782.61"
"2020-09-01","COMMUNITY ADVANTAGE","89","4","0.0449438202247191","438563.75","130449.44"
"2020-09-01","EXPORT/TRADE","40","0","0","0.00","1845477.50"
"2020-09-01","EXPRESS","1737","9","0.0051813471502590676","1101712.57","152904.66"
"2020-09-01","PLP","2991","31","0.010364426613172852","7658348.37","1023705.18"
"2020-09-01","STANDARD","487","5","0.01026694045174538","7633137.09","1091298.77"
"2020-10-01","CAPLINES","14","0","0","0.00","960357.14"
"2020-10-01","COMMUNITY ADVANTAGE","41","1","0.024390243902439025","186484.30","162553.66"
"2020-10-01","EXPORT/TRADE","22","0","0","0.00","1868127.27"
"2020-10-01","EXPRESS","1137","32","0.028144239226033423","1002633.80","97491.47"
"2020-10-01","PLP","1118","29","0.0259391771019678","5945563.41","803656.17"
"2020-10-01","STANDARD","248","3","0.012096774193548387","360111.67","861229.44"
"2020-11-01","CAPLINES","14","0","0","0.00","1162714.29"
"2020-11-01","COMMUNITY ADVANTAGE","43","6","0.13953488372093023","492768.88","147339.53"
"2020-11-01","EXPORT/TRADE","20","1","0.05","841109.28","1274935.00"
"2020-11-01","EXPRESS","912","22","0.02412280701754386","1195041.09","111437.39"
"2020-11-01","PLP","1260","22","0.01746031746031746","6695999.29","788396.11"
"2020-11-01","STANDARD","225","3","0.013333333333333334","3064026.26","1024172.00"
"2020-12-01","CAPLINES","24","0","0","0.00","851062.50"
"2020-12-01","COMMUNITY ADVANTAGE","36","0","0","0.00","147002.78"
"2020-12-01","EXPORT/TRADE","19","0","0","0.00","1379105.26"
"2020-12-01","EXPRESS","1199","34","0.02835696413678065","1654361.15","150929.69"
"2020-12-01","PLP","1964","35","0.017820773930753563","8511158.75","936022.81"
"2020-12-01","STANDARD","284","7","0.02464788732394366","1853156.26","1019900.35"
"2021-01-01","CAPLINES","13","0","0","0.00","829538.46"
"2021-01-01","COMMUNITY ADVANTAGE","26","0","0","0.00","132653.85"
"2021-01-01","EXPORT/TRADE","3","0","0","0.00","2573333.33"
"2021-01-01","EXPRESS","558","6","0.010752688172043012","195963.78","87614.16"
"2021-01-01","PLP","418","3","0.007177033492822967","737346.01","680507.66"
"2021-01-01","STANDARD","203","2","0.009852216748768473","539844.59","796071.43"
"2021-02-01","CAPLINES","33","0","0","0.00","585696.97"
"2021-02-01","COMMUNITY ADVANTAGE","46","3","0.06521739130434782","524152.38","126678.26"
"2021-02-01","EXPORT/TRADE","14","0","0","0.00","1874021.43"
"2021-02-01","EXPRESS","1222","20","0.016366612111292964","823485.51","118032.49"
"2021-02-01","PLP","2213","29","0.013104383190239493","11904045.42","928081.34"
"2021-02-01","STANDARD","249","4","0.01606425702811245","1413315.71","1007895.98"
"2021-03-01","CAPLINES","42","0","0","0.00","1053380.95"
"2021-03-01","COMMUNITY ADVANTAGE","48","4","0.08333333333333333","178616.79","142527.08"
"2021-03-01","EXPORT/TRADE","16","0","0","0.00","2290500.00"
"2021-03-01","EXPRESS","1564","35","0.02237851662404092","1367610.38","128456.20"
"2021-03-01","PLP","2342","32","0.013663535439795047","10922734.25","881135.61"
"2021-03-01","STANDARD","308","4","0.012987012987012988","2710637.81","1045673.70"
"2021-04-01","CAPLINES","31","0","0","0.00","1136209.68"
"2021-04-01","COMMUNITY ADVANTAGE","51","1","0.0196078431372549","88032.88","149807.84"
"2021-04-01","EXPORT/TRADE","12","0","0","0.00","2368883.33"
"2021-04-01","EXPRESS","1612","26","0.016129032258064516","1482387.53","132077.67"
"2021-04-01","PLP","2373","28","0.011799410029498525","9845817.18","938911.93"
"2021-04-01","STANDARD","345","4","0.011594202898550725","448819.39","884643.19"
"2021-05-01","CAPLINES","22","0","0","0.00","1786818.18"
"2021-05-01","COMMUNITY ADVANTAGE","45","0","0","0.00","154115.56"
"2021-05-01","EXPORT/TRADE","8","0","0","0.00","2883187.50"
"2021-05-01","EXPRESS","1504","30","0.0199468085106383","2252656.14","122850.66"
"2021-05-01","PLP","2108","20","0.009487666034155597","8866057.72","998406.74"
"2021-05-01","STANDARD","327","3","0.009174311926605505","1264948.90","931229.36"
"2021-06-01","CAPLINES","38","1","0.02631578947368421","56485.84","1412607.89"
"2021-06-01","COMMUNITY ADVANTAGE","62","3","0.04838709677419355","443011.51","147258.06"
"2021-06-01","EXPORT/TRADE","3","0","0","0.00","1663866.67"
"2021-06-01","EXPRESS","1831","45","0.024576734025122882","1782423.18","127344.73"
"2021-06-01","PLP","2594","18","0.006939090208172706","5736091.72","1029518.08"
"2021-06-01","STANDARD","346","1","0.002890173410404624","157876.57","1032490.46"
"2021-07-01","CAPLINES","37","0","0","0.00","1773189.19"
"2021-07-01","COMMUNITY ADVANTAGE","42","3","0.07142857142857142","366757.65","135397.62"
"2021-07-01","EXPORT/TRADE","9","0","0","0.00","2300000.00"
"2021-07-01","EXPRESS","1922","52","0.027055150884495317","3005280.78","134705.67"
"2021-07-01","PLP","3349","38","0.011346670647954613","17458367.07","1110872.38"
"2021-07-01","STANDARD","321","8","0.024922118380062305","3225481.26","1104085.67"
"2021-08-01","CAPLINES","48","0","0","0.00","1174145.83"
"2021-08-01","COMMUNITY ADVANTAGE","54","4","0.07407407407407407","576943.59","148811.11"
"2021-08-01","EXPORT/TRADE","9","0","0","0.00","3190000.00"
"2021-08-01","EXPRESS","2205","60","0.027210884353741496","2564960.44","129799.23"
"2021-08-01","PLP","3975","39","0.009811320754716982","15216992.28","1143224.25"
"2021-08-01","STANDARD","382","2","0.005235602094240838","1303879.26","1103668.32"
"2021-09-01","CAPLINES","56","0","0","0.00","1524732.14"
"2021-09-01","COMMUNITY ADVANTAGE","71","3","0.04225352112676056","396433.37","154877.46"
"2021-09-01","EXPORT/TRADE","20","0","0","0.00","2745550.00"
"2021-09-01","EXPRESS","2419","62","0.025630425795783382","2737310.58","145846.75"
"2021-09-01","PLP","5148","34","0.006604506604506605","11095927.02","1196435.55"
"2021-09-01","STANDARD","480","3","0.00625","445429.90","1118454.38"
"2021-10-01","CAPLINES","9","0","0","0.00","903111.11"
"2021-10-01","COMMUNITY ADVANTAGE","52","2","0.038461538461538464","110959.49","134482.69"
"2021-10-01","EXPORT/TRADE","5","0","0","0.00","2601460.00"
"2021-10-01","EXPRESS","1137","35","0.030782761653474055","1342943.36","87967.11"
"2021-10-01","PLP","706","15","0.021246458923512748","3517433.52","527602.97"
"2021-10-01","STANDARD","261","7","0.02681992337164751","4432720.63","1168436.02"
"2021-11-01","CAPLINES","21","0","0","0.00","907066.67"
"2021-11-01","COMMUNITY ADVANTAGE","57","3","0.05263157894736842","258454.97","157156.14"
"2021-11-01","EXPORT/TRADE","8","0","0","0.00","1228125.00"
"2021-11-01","EXPRESS","1407","51","0.03624733475479744","1745735.85","87206.11"
"2021-11-01","PLP","1243","17","0.013676588897827836","4583408.09","703072.65"
"2021-11-01","STANDARD","324","4","0.012345679012345678","1536776.48","987842.59"
"2021-12-01","CAPLINES","11","0","0","0.00","1195454.55"
"2021-12-01","COMMUNITY ADVANTAGE","45","3","0.06666666666666667","145655.16","143706.67"
"2021-12-01","EXPORT/TRADE","13","0","0","0.00","1961500.00"
"2021-12-01","EXPRESS","1433","48","0.03349616189811584","1429527.50","108940.47"
"2021-12-01","PLP","1833","15","0.008183306055646482","2720682.47","958023.24"
"2021-12-01","STANDARD","327","4","0.012232415902140673","606156.10","1067225.99"
"2022-01-01","CAPLINES","17","0","0","0.00","1010882.35"
"2022-01-01","COMMUNITY ADVANTAGE","45","4","0.08888888888888889","594661.70","157073.33"
"2022-01-01","EXPORT/TRADE","11","0","0","0.00","2609481.82"
"2022-01-01","EXPRESS","1352","43","0.031804733727810654","1242733.80","99551.85"
"2022-01-01","PLP","1620","20","0.012345679012345678","3315083.93","843054.81"
"2022-01-01","STANDARD","276","2","0.007246376811594203","2346541.70","1023901.81"
"2022-02-01","CAPLINES","24","0","0","0.00","470387.50"
"2022-02-01","COMMUNITY ADVANTAGE","51","5","0.09803921568627451","451055.89","137541.18"
"2022-02-01","EXPORT/TRADE","6","0","0","0.00","2335566.67"
"2022-02-01","EXPRESS","1392","31","0.022270114942528736","1064106.28","102468.03"
"2022-02-01","PLP","1680","15","0.008928571428571428","5369432.09","851454.35"
"2022-02-01","STANDARD","271","5","0.01845018450184502","697069.25","1048935.42"
"2022-03-01","CAPLINES","25","0","0","0.00","917920.00"
"2022-03-01","COMMUNITY ADVANTAGE","68","6","0.08823529411764706","797454.56","155035.29"
"2022-03-01","EXPORT/TRADE","18","0","0","0.00","1675788.89"
"2022-03-01","EXPRESS","1988","41","0.02062374245472837","1113217.53","98803.67"
"2022-03-01","PLP","2226","30","0.013477088948787063","8113707.42","883959.66"
"2022-03-01","STANDARD","327","3","0.009174311926605505","4856333.41","1007379.51"
"2022-04-01","CAPLINES","28","0","0","0.00","993928.57"
"2022-04-01","COMMUNITY ADVANTAGE","58","2","0.034482758620689655","200220.36","127905.17"
"2022-04-01","EXPORT/TRADE","15","1","0.06666666666666667","130888.22","1710626.67"
"2022-04-01","EXPRESS","1901","51","0.026827985270910047","2972557.92","93420.52"
"2022-04-01","PLP","2004","32","0.015968063872255488","5950230.93","859773.90"
"2022-04-01","STANDARD","260","4","0.015384615384615385","1045915.77","1015308.85"
